time,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & P6 to Campus Ave & Library Rd,Campus Ave & P6 to Roundabout,Campus Ave & University Dr to Library Rd & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & P1 to Library Rd & University Dr,Library Rd & University Dr to Colonel By Dr & University Dr,P3 & Raven Rd to Raven Rd & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P4 & University Dr,Roundabout to Bronson Ave & University Dr,Stadium Way & University Dr to P5 & Stadium Way,Stadium Way & University Dr to Roundabout
378.0,0.556994548502401,2.1433045040597696,0.0,0.5760435061679814,1.0843229647390182,5.223807681712656,1.9351001686771778,4.000835074244903,0.9790351796725093,0.0,2.6963447064285204,0.49358010555857484,3.2008633313840935,0.5273364024363849,3.410694764187814,4.515233726913415,0.49358010555857484,15.5706702723363,1.705347382093907,7.192287159232942
379.0,0.556994548502401,2.2861914709970876,0.0,0.5760435061679814,1.0843229647390182,5.223807681712656,1.9351001686771778,3.8579481073075854,0.48951758983625465,5.8209554296554264,2.6963447064285204,0.49358010555857484,3.2008633313840935,0.5273364024363849,3.410694764187814,4.192717032133885,0.49358010555857484,14.86291253268465,1.705347382093907,7.192287159232942
380.0,0.556994548502401,2.2861914709970876,0.0,0.864065259251972,1.0843229647390182,5.223807681712656,1.9351001686771778,4.000835074244903,0.48951758983625465,5.8209554296554264,3.2356136477142243,0.9871602111171497,2.743597141186366,0.5273364024363849,5.116042146281721,4.192717032133885,0.49358010555857484,14.86291253268465,1.705347382093907,7.846131446435937
381.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,1.0843229647390182,5.223807681712656,1.9351001686771778,4.1437220411822215,0.48951758983625465,5.8209554296554264,2.6963447064285204,0.9871602111171497,2.743597141186366,0.5273364024363849,3.410694764187814,4.192717032133885,0.9871602111171497,15.5706702723363,0.0,8.499975733638932
382.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,1.0843229647390182,5.030333323130706,1.9351001686771778,4.1437220411822215,0.48951758983625465,8.73143314448314,2.6963447064285204,0.9871602111171497,2.743597141186366,0.5273364024363849,3.410694764187814,4.192717032133885,0.9871602111171497,16.278428011987952,0.0,7.846131446435937
383.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,1.0843229647390182,5.030333323130706,1.9351001686771778,4.1437220411822215,0.48951758983625465,5.8209554296554264,2.157075765142816,0.9871602111171497,2.743597141186366,0.0,3.410694764187814,4.515233726913415,0.9871602111171497,15.5706702723363,0.0,7.846131446435937
384.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,0.0,5.030333323130706,1.6125834738976481,4.1437220411822215,0.48951758983625465,2.9104777148277132,2.157075765142816,0.9871602111171497,2.743597141186366,0.0,3.410694764187814,4.837750421692944,0.9871602111171497,16.278428011987952,0.0,7.192287159232942
385.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,1.0843229647390182,5.030333323130706,1.6125834738976481,4.1437220411822215,0.9790351796725093,2.9104777148277132,2.6963447064285204,0.9871602111171497,3.2008633313840935,0.5273364024363849,3.410694764187814,4.837750421692944,0.9871602111171497,16.9861857516396,0.0,7.192287159232942
386.0,0.0,2.2861914709970876,0.6019582602581162,0.864065259251972,1.0843229647390182,5.223807681712656,1.6125834738976481,4.000835074244903,0.9790351796725093,2.9104777148277132,2.6963447064285204,0.9871602111171497,3.2008633313840935,0.5273364024363849,1.705347382093907,4.515233726913415,0.9871602111171497,16.278428011987952,0.0,7.846131446435937
387.0,0.0,2.1433045040597696,0.6019582602581162,0.864065259251972,1.0843229647390182,5.223807681712656,1.6125834738976481,4.1437220411822215,0.9790351796725093,2.9104777148277132,2.6963447064285204,0.9871602111171497,3.2008633313840935,0.5273364024363849,1.705347382093907,4.515233726913415,0.9871602111171497,16.278428011987952,0.0,7.192287159232942
